full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2021-10-22T00:51:39+0000,646152,25390,Ruby,11679,[]
AKIA27TACKEDYE76PUGU/CVE-2021-39209,"PoC for exploiting CVE-2021-39209 : GLPI is a free Asset and IT management software package. In versions prior to 9.5.6, a user who is logged in to GLPI can bypass Cross-Site Request Forgery (CSRF) protection in many places. This could allow a malicious ac",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-39209,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:16:18+0000,1935,0,Shell,0,['CVE-2021-39209']
Abij1234/your_droid,"Coded by NNC, it is used to creat payload of metasploit",https://github.com/Abij1234/your_droid,['metasploit module OR payload'],1,2021-10-05T11:42:05+0000,0,0,Shell,0,[]
ranahid/Metasploit,None,https://github.com/ranahid/Metasploit,['metasploit module OR payload'],1,2021-10-05T12:30:28+0000,0,0,,0,[]
cepxeo/SQLServerEx,Yet another MS SQL Server exploitation tool,https://github.com/cepxeo/SQLServerEx,['exploit'],1,2021-10-06T16:58:32+0000,31,0,C#,0,[]
ColdFusionX/CVE-2021-26086,Atlassian Jira Server/Data Center 8.4.0 - Arbitrary File read (CVE-2021-26086),https://github.com/ColdFusionX/CVE-2021-26086,['cve-2 OR cve_2'],1,2021-10-12T05:16:48+0000,2,0,,1,['CVE-2021-26086']
fernandopaezmartin/SAD_2021--Vulnerabilidades---Metasploit,None,https://github.com/fernandopaezmartin/SAD_2021--Vulnerabilidades---Metasploit,['metasploit module OR payload'],1,2021-10-19T22:32:49+0000,7107,0,,0,[]
Badbird3/BrowserExploitStudy,None,https://github.com/Badbird3/BrowserExploitStudy,['exploit'],1,2021-10-22T17:17:23+0000,351,0,HTML,0,[]
caciolai/Semantic-Role-Labeling-exploiting-Contextualized-Embeddings,None,https://github.com/caciolai/Semantic-Role-Labeling-exploiting-Contextualized-Embeddings,['exploit'],1,2021-10-05T16:14:20+0000,1178,0,Jupyter Notebook,0,[]
Vulnmachines/cve-2021-41773,CVE-2021-41773 Path Traversal vulnerability in Apache 2.4.49.,https://github.com/Vulnmachines/cve-2021-41773,['cve-2 OR cve_2'],1,2021-10-07T06:55:32+0000,1,21,,5,['CVE-2021-41773']
numanturle/CVE-2021-41773,CVE-2021-41773,https://github.com/numanturle/CVE-2021-41773,['cve-2 OR cve_2'],1,2021-10-05T16:48:27+0000,2,4,,0,['CVE-2021-41773']
knqyf263/CVE-2021-41773,Path traversal in Apache HTTP Server 2.4.49 (CVE-2021-41773) ,https://github.com/knqyf263/CVE-2021-41773,['cve-2 OR cve_2'],1,2021-10-06T05:40:34+0000,13,4,Dockerfile,1,['CVE-2021-41773']
cyberbharathi/cornershop-rce,None,https://github.com/cyberbharathi/cornershop-rce,['rce'],1,2021-10-05T16:48:15+0000,0,0,,0,[]
codewithsam07/ghost-sam,Ghost Framework is an Android post-exploitation framework that exploits the Android Debug Bridge to remotely access an Android device.,https://github.com/codewithsam07/ghost-sam,['exploit'],1,2021-10-05T17:30:59+0000,50,0,Python,0,[]
ZephrFish/CVE-2021-41773-PoC,None,https://github.com/ZephrFish/CVE-2021-41773-PoC,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-06T09:25:38+0000,10,10,Python,6,['CVE-2021-41773']
iilegacyyii/PoC-CVE-2021-41773,None,https://github.com/iilegacyyii/PoC-CVE-2021-41773,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-10T04:43:33+0000,9,27,Python,27,['CVE-2021-41773']
WCBandit/Shell-Basher,A tool developed to simplify the exploiting of web-shells.,https://github.com/WCBandit/Shell-Basher,['exploit'],1,2021-10-21T07:18:43+0000,3,1,,0,[]
AKIA27TACKEDYE76PUGU/CVE-2021-39204,"PoC for exploiting CVE-2021-39204 : Pomerium is an open source identity-aware access proxy. Envoy, which Pomerium is based on, incorrectly handles resetting of HTTP/2 streams with excessive complexity. This can lead to high CPU utilization when a large num",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-39204,"['cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",3,2021-10-05T11:17:32+0000,1935,0,Shell,0,['CVE-2021-39204']
AKIA27TACKEDYE76PUGU/CVE-2021-39206,"PoC for exploiting CVE-2021-39206 : Pomerium is an open source identity-aware access proxy. Envoy, which Pomerium is based on, contains two authorization related vulnerabilities CVE-2021-32777 and CVE-2021-32779. This may lead to incorrect routing or autho",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-39206,"['cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",3,2021-10-05T11:17:28+0000,1935,0,Shell,0,"['CVE-2021-32777', 'CVE-2021-32779', 'CVE-2021-39206']"
AIPOCAI/CVE-2021-22005,PoC for exploiting CVE-2021-22005 : The vCenter Server contains an arbitrary file upload vulnerability in the Analytics service. A malicious actor with network access to port 443 on vCenter Server may exploit this issue to execute code on vCenter Server by,https://github.com/AIPOCAI/CVE-2021-22005,"['cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",3,2021-10-05T11:17:24+0000,1935,0,Shell,0,['CVE-2021-22005']
AKIA27TACKEDYE76PUGU/CVE-2021-24620,"PoC for exploiting CVE-2021-24620 : The WordPress Simple Ecommerce Shopping Cart Plugin- Sell products through Paypal plugin through 2.2.5 does not check for the uploaded Downloadable Digital product file, allowing any file, such as PHP to be uploaded by a",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-24620,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'rce', 'rce poc']",5,2021-10-05T11:16:49+0000,1935,0,Shell,0,['CVE-2021-24620']
AKIA27TACKEDYE76PUGU/CVE-2019-11595,"PoC for exploiting CVE-2019-11595 : In uBlock before 0.9.5.15, the $rewrite filter option allows filter-list maintainers to run arbitrary code in a client-side session when a web service loads a script for execution using XMLHttpRequest or Fetch, and the s",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2019-11595,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:16:25+0000,1935,0,Shell,0,['CVE-2019-11595']
AIPOCAI/CVE-2020-21605,"PoC for exploiting CVE-2020-21605 : libde265 v1.0.4 contains a segmentation fault in the apply_sao_internal function, which can be exploited via a crafted a file.",https://github.com/AIPOCAI/CVE-2020-21605,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:16:29+0000,1935,0,Shell,0,['CVE-2020-21605']
AKIA27TACKEDYE76PUGU/CVE-2021-21993,PoC for exploiting CVE-2021-21993 : The vCenter Server contains an SSRF (Server Side Request Forgery) vulnerability due to improper validation of URLs in vCenter Server Content Library. An authorised user with access to content library may exploit this iss,https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-21993,"['cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",3,2021-10-05T11:16:33+0000,1935,0,Shell,0,['CVE-2021-21993']
AIPOCAI/CVE-2020-21480,PoC for exploiting CVE-2020-21480 : An arbitrary file write vulnerability in RGCMS v1.06 allows attackers to execute arbitrary code via a crafted PHP file.,https://github.com/AIPOCAI/CVE-2020-21480,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:16:37+0000,1935,0,Shell,0,['CVE-2020-21480']
AIPOCAI/CVE-2020-14124,"PoC for exploiting CVE-2020-14124 : There is a buffer overflow in librsa.so called by getwifipwdurl interface, resulting in code execution on Xiaomi router AX3600 with ROM version =rom< 1.1.12.",https://github.com/AIPOCAI/CVE-2020-14124,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:16:41+0000,1935,0,Shell,0,['CVE-2020-14124']
AIPOCAI/CVE-2021-39239,"PoC for exploiting CVE-2021-39239 : A vulnerability in XML processing in Apache Jena, in versions up to 4.1.0, may allow an attacker to execute XML External Entities (XXE), including exposing the contents of local files to a remote server.",https://github.com/AIPOCAI/CVE-2021-39239,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:16:45+0000,1935,0,Shell,0,['CVE-2021-39239']
AKIA27TACKEDYE76PUGU/CVE-2020-21481,PoC for exploiting CVE-2020-21481 : An arbitrary file upload vulnerability in RGCMS v1.06 allows attackers to execute arbitrary code via a crafted .txt file which is later changed to a PHP file.,https://github.com/AKIA27TACKEDYE76PUGU/CVE-2020-21481,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:16:53+0000,1935,0,Shell,0,['CVE-2020-21481']
AIPOCAI/CVE-2021-40965,PoC for exploiting CVE-2021-40965 : A Cross-Site Request Forgery (CSRF) vulnerability exists in TinyFileManager all version up to and including 2.4.6 that allows attackers to upload files and run OS commands by inducing the Administrator user to browse a U,https://github.com/AIPOCAI/CVE-2021-40965,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:17:20+0000,0,0,Shell,0,['CVE-2021-40965']
AKIA27TACKEDYE76PUGU/CVE-2020-21482,PoC for exploiting CVE-2020-21482 : A cross-site scripting (XSS) vulnerability in RGCMS v1.06 allows attackers to obtain the administrator's cookie via a crafted payload in the Name field under the Message Board module,https://github.com/AKIA27TACKEDYE76PUGU/CVE-2020-21482,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:16:56+0000,1935,0,Shell,0,['CVE-2020-21482']
AIPOCAI/CVE-2021-33693,"PoC for exploiting CVE-2021-33693 : SAP Cloud Connector, version - 2.0, allows an authenticated administrator to modify a configuration file to inject malicious codes that could potentially lead to OS command execution.",https://github.com/AIPOCAI/CVE-2021-33693,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:17:00+0000,1935,0,Shell,0,['CVE-2021-33693']
AKIA27TACKEDYE76PUGU/CVE-2021-40964,"PoC for exploiting CVE-2021-40964 : A Path Traversal vulnerability exists in TinyFileManager all version up to and including 2.4.6 that allows attackers to upload a file (with Admin credentials or with the CSRF vulnerability) with the ""fullpath"" parameter ",https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-40964,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-05T11:17:04+0000,1935,0,Shell,0,['CVE-2021-40964']
AKIA27TACKEDYE76PUGU/CVE-2021-40966,PoC for exploiting CVE-2021-40966 : A Stored XSS exists in TinyFileManager All version up to and including 2.4.6 in /tinyfilemanager.php when the server is given a file that contains HTML and javascript in its name. A malicious user can upload a file with ,https://github.com/AKIA27TACKEDYE76PUGU/CVE-2021-40966,"['cve poc', 'cve-2 OR cve_2']",2,2021-10-05T11:17:08+0000,1935,0,Shell,0,['CVE-2021-40966']
