full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2021-10-27T05:38:05+0000,649385,25429,Ruby,11692,[]
HxDDD/CVE-PoC,CVE PoC Test,https://github.com/HxDDD/CVE-PoC,['cve poc'],1,2021-10-27T01:25:52+0000,77,0,,0,[]
glixzzy/blooket-hack,Multiple hacks that breaks the game,https://github.com/glixzzy/blooket-hack,['exploit'],1,2021-10-27T00:03:50+0000,2975,79,JavaScript,144,[]
thuan2172001/Analyst_Induce_Benmark,Dataset for Exploring and exploiting the correlations between bug-inducing and bug-fixing commits,https://github.com/thuan2172001/Analyst_Induce_Benmark,['exploit'],1,2021-10-27T02:49:12+0000,61303,0,Java,0,[]
bo-zhang-cs/CGS-Pytorch,"Unofficial PyTorch implementation of ""Composing Good Shots by Exploiting Mutual Relations""",https://github.com/bo-zhang-cs/CGS-Pytorch,['exploit'],1,2021-10-27T01:30:11+0000,27,0,Python,0,[]
mousepad01/python_binary_exploit_utilites,My own collection of usual functions that I use during binary exploitation training,https://github.com/mousepad01/python_binary_exploit_utilites,['exploit'],1,2021-10-27T07:15:57+0000,135,1,Python,0,[]
murderjj/spellcaster,spellcaster admin panel for rblx (exploit),https://github.com/murderjj/spellcaster,['exploit'],1,2021-10-27T05:48:19+0000,813,0,,0,[]
thiennv57/metasploit_exploits,hacktoberfest,https://github.com/thiennv57/metasploit_exploits,"['exploit', 'metasploit module OR payload']",2,2021-10-27T07:44:46+0000,6,0,Ruby,2,[]
lvlup456/polymorphicShellcode,None,https://github.com/lvlup456/polymorphicShellcode,['shellcode'],1,2021-10-27T07:26:34+0000,34,0,Python,0,[]
GeraBruhh/Msf-Tool,"Script para crear payloads facil, solo los crea no habre metasploit framework para completarlo :).",https://github.com/GeraBruhh/Msf-Tool,['metasploit module OR payload'],1,2021-10-27T02:36:31+0000,8,0,Python,0,[]
WhitfieBad/MemLeakExploit,None,https://github.com/WhitfieBad/MemLeakExploit,['exploit'],1,2021-10-27T04:04:52+0000,816,0,C,0,[]
XRSec/CobaltStrike-Update,"Cobalt Strike is a powerful threat emulation tool that provides a post-exploitation agent and covert channels ideal for Adversary Simulations and Red Team exercises. With Cobalt Strike, companies can emulate the tactics and techniques of a quiet long-term ",https://github.com/XRSec/CobaltStrike-Update,['exploit'],1,2021-10-27T07:29:55+0000,5,0,,0,[]
lleavesl/CVE-2021-26084,CVE-2021-26084，Atlassian Confluence OGNL注入漏洞,https://github.com/lleavesl/CVE-2021-26084,['cve-2 OR cve_2'],1,2021-10-27T02:30:40+0000,28,4,Python,3,['CVE-2021-26084']
asood92/Jinja2-ExploitMe,None,https://github.com/asood92/Jinja2-ExploitMe,['exploit'],1,2021-10-27T02:05:52+0000,0,0,HTML,0,[]
shearertzach/Jinja2-ExploitMe,None,https://github.com/shearertzach/Jinja2-ExploitMe,['exploit'],1,2021-10-27T00:08:19+0000,0,0,HTML,0,[]
bangalia/Jinja2-ExploitMe,None,https://github.com/bangalia/Jinja2-ExploitMe,['exploit'],1,2021-10-27T00:12:38+0000,0,0,HTML,0,[]
cpueasy/atomic-loader,A Fully undetectable electron application exploit,https://github.com/cpueasy/atomic-loader,['exploit'],1,2021-10-27T01:05:34+0000,0,3,JavaScript,0,[]
rafaelcaria/drupalgeddon2-CVE-2018-7600,None,https://github.com/rafaelcaria/drupalgeddon2-CVE-2018-7600,['cve-2 OR cve_2'],1,2021-10-27T03:32:40+0000,0,0,Python,0,['CVE-2018-7600']
Alegarciy/SS-P1_Py_Exploit,"Project 01- Softare Security, Eval Function Exploit",https://github.com/Alegarciy/SS-P1_Py_Exploit,['exploit'],1,2021-10-27T03:21:13+0000,0,0,Dockerfile,0,[]
andnorack/CVE-2021-32789,WooCommerce exploit,https://github.com/andnorack/CVE-2021-32789,"['cve-2 OR cve_2', 'exploit']",2,2021-10-27T04:18:58+0000,0,0,Go,0,['CVE-2021-32789']
ultrafinn122/Key,The Key for my exploit,https://github.com/ultrafinn122/Key,['exploit'],1,2021-10-27T05:01:28+0000,0,0,,0,[]
wyzmlr/AutoExploitSwagger,SwaggerAPI 自动利用工具,https://github.com/wyzmlr/AutoExploitSwagger,['exploit'],1,2021-10-27T08:28:12+0000,0,3,Python,0,[]
Jun-5heng/CVE-2021-22005,None,https://github.com/Jun-5heng/CVE-2021-22005,['cve-2 OR cve_2'],1,2021-10-27T08:36:21+0000,0,0,,0,['CVE-2021-22005']
