full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2021-10-31T23:33:32+0000,27152,8438,Python,1455,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning, parsing, and creating malicious payloads and listeners with Metasploit.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2021-10-31T17:36:27+0000,3730,2515,PowerShell,730,[]
Ted6828/MySchoolExploits,A python cli that ik sucks and looks cringy its just easier than before,https://github.com/Ted6828/MySchoolExploits,['exploit'],1,2021-10-31T09:19:59+0000,6875,0,Python,0,[]
Imptovskii/ExploitFixer,Небольшой плагин для исправления некоторых багов.,https://github.com/Imptovskii/ExploitFixer,['exploit'],1,2021-10-31T11:17:48+0000,20,2,Java,0,[]
Claudio4813/Reveil_berry,Projet système exploitation P18M groupe 1 (Arnaud/Vincent/Frederic/Claude),https://github.com/Claudio4813/Reveil_berry,['exploit'],1,2021-10-31T10:27:16+0000,1615,0,CSS,0,[]
learner-ing/redis-rce,redis主从复制windows和Linux 6.x,https://github.com/learner-ing/redis-rce,['rce'],1,2021-10-31T05:56:54+0000,15,0,C,0,[]
WhitfieBad/LearningExploiting,None,https://github.com/WhitfieBad/LearningExploiting,['exploit'],1,2021-10-31T14:14:38+0000,4,0,C,0,[]
0xK4gura/CVE-2021-40444-POC,An attempt to reproduce Microsoft MSHTML Remote Code Execution (RCE) Vulnerability and using Metasploit Framework.,https://github.com/0xK4gura/CVE-2021-40444-POC,"['cve poc', 'cve-2 OR cve_2', 'metasploit module OR payload', 'rce', 'rce poc', 'remote code execution', 'vulnerability poc']",7,2021-10-31T08:15:00+0000,6,2,,0,['CVE-2021-40444']
CrystalCL/BowExploitFixer,"This is plugin for 1.17 Spigot/Bukkit Minecraft's servers. This plugin fixes BowExploit(BowBomb) that found recently. Meteor Client developers released their fix, but the problem is that it fixes vanills arrow mechanics. Together I with https://github.com/",https://github.com/CrystalCL/BowExploitFixer,['exploit'],1,2021-10-31T08:35:45+0000,46,2,Java,1,[]
tjonty/exploit,None,https://github.com/tjonty/exploit,['exploit'],1,2021-10-31T19:10:09+0000,1411,0,JavaScript,0,[]
R3zk0n/sploitations,Directory for random Infosec sploitations..,https://github.com/R3zk0n/sploitations,['sploit'],1,2021-10-31T12:22:47+0000,174649,0,Python,0,[]
stong/how-to-exploit-a-double-free,How to exploit a double free vulnerability in 2021. 'Use After Free for Dummies',https://github.com/stong/how-to-exploit-a-double-free,['exploit'],1,2021-10-31T13:15:34+0000,19570,867,Python,44,[]
rafaelcaria/exploits,None,https://github.com/rafaelcaria/exploits,['exploit'],1,2021-10-31T07:17:42+0000,3,0,Python,0,[]
horosora/pwnkit,Exploit development library,https://github.com/horosora/pwnkit,['exploit'],1,2021-10-31T13:17:50+0000,3,0,Python,0,[]
oxctdev/CVE-2021-30573,Google Chrome Vulnerabilities CVE-2021-30573,https://github.com/oxctdev/CVE-2021-30573,['cve-2 OR cve_2'],1,2021-10-31T21:47:51+0000,5,8,HTML,2,['CVE-2021-30573']
cshewmake2/cone-classification,The use of adaptive optics scanning laser ophthalmoscopy (AOSLO) to probe color perception at the individual cone level has become increasingly of interest in the vision science community. Such experiments are enabled by having individual subjects' cone cl,https://github.com/cshewmake2/cone-classification,['exploit'],1,2021-10-31T19:12:02+0000,4747,0,Jupyter Notebook,0,[]
rbctee/Shellcode,Shellcode,https://github.com/rbctee/Shellcode,['shellcode'],1,2021-10-31T14:53:55+0000,5,0,Assembly,0,[]
BuriedInTheGround/pigowa,"Go interface for using p5.js in the browser, exploiting the power of WebAssembly.",https://github.com/BuriedInTheGround/pigowa,['exploit'],1,2021-10-31T18:00:07+0000,11,0,Go,0,[]
lb3361/gigatron-os,Gigatron program and operating-system level things to exploit a SD card attached to the SPI interface of a RAM & IO expansion board.,https://github.com/lb3361/gigatron-os,['exploit'],1,2021-10-31T13:26:14+0000,295,0,C,0,[]
holdwyd/Hold,My Roblox Exploit,https://github.com/holdwyd/Hold,['exploit'],1,2021-10-31T02:35:32+0000,8383,0,C#,0,[]
plvhx/solaris-shellcode,SunOS Solaris shellcode,https://github.com/plvhx/solaris-shellcode,['shellcode'],1,2021-10-31T00:11:31+0000,0,0,C,0,[]
Foxxive/FoxSploit,"simple roblox exploit made in C# by me, i made this to practice my C# coding",https://github.com/Foxxive/FoxSploit,"['exploit', 'sploit']",2,2021-10-31T00:40:46+0000,0,0,,0,[]
d1ch0t0my-code/post-exploitation,Useful scripts in post-exploitation phase,https://github.com/d1ch0t0my-code/post-exploitation,['exploit'],1,2021-10-31T08:24:47+0000,0,0,,0,[]
BennyProduction/Free-Exploit--KRNL,KRNL,https://github.com/BennyProduction/Free-Exploit--KRNL,['exploit'],1,2021-10-31T21:20:04+0000,0,0,,0,[]
Youheng-Lue/art-exploit,None,https://github.com/Youheng-Lue/art-exploit,['exploit'],1,2021-10-31T20:05:28+0000,1,0,,0,[]
leochahud/Exploits,Some exploits I have (re)written,https://github.com/leochahud/Exploits,['exploit'],1,2021-10-31T18:23:16+0000,0,0,Python,0,[]
attakercyebr/Exploit-doc,"After many requests, our team created a new Silent DOC Exploit for Microsoft Office. The purpose of this exploit is to silently infect victims upon opening the document. Furthermore, this exploit will convert an .EXE to .DOC or .XLS without any detection’s",https://github.com/attakercyebr/Exploit-doc,['exploit'],1,2021-10-31T18:23:13+0000,0,1,Python,0,[]
c0okB/CVE-2021-22205,CVE-2021-22205 RCE ,https://github.com/c0okB/CVE-2021-22205,"['cve-2 OR cve_2', 'rce']",2,2021-10-31T15:30:20+0000,7521,0,Go,0,['CVE-2021-22205']
ZachAProfessionalExploiter/ZachAProfessionalExploiter,Config files for my GitHub profile.,https://github.com/ZachAProfessionalExploiter/ZachAProfessionalExploiter,['exploit'],1,2021-10-31T09:08:31+0000,0,0,,0,[]
g33xter/CVE-2021-28079,"POC Jamovi <=1.6.18 is affected by a cross-site scripting (XSS) vulnerability. The column-name is vulnerable to XSS in the ElectronJS Framework. An attacker can make a .omv (Jamovi) document containing a payload. When opened by victim, the payload is trigg",https://github.com/g33xter/CVE-2021-28079,"['attack poc', 'cve poc', 'cve-2 OR cve_2', 'vulnerability poc']",4,2021-10-31T08:29:53+0000,0,0,,0,['CVE-2021-28079']
KameleonReloaded/672,Sleirsgoevy New Exploit For 6.72 FW Plus GoldHEN 1.1 ,https://github.com/KameleonReloaded/672,['exploit'],1,2021-10-31T05:31:37+0000,0,0,,0,[]
restarrt/location-finder,"type in the object name and it will print out the location of any object with the name, every parents to reach it, useful if your exploit doesnt support dex or you used remotespy and struggle to find out where is the parameter object that was passed, this ",https://github.com/restarrt/location-finder,['exploit'],1,2021-10-31T00:43:49+0000,0,0,,0,[]
NinjavaFilms/Plane-Crazy-INFINITE-MAP-exploit,Creates infinite maps in the roblox game Plane Crazy. Credits to Nexity for the script,https://github.com/NinjavaFilms/Plane-Crazy-INFINITE-MAP-exploit,['exploit'],1,2021-10-31T05:20:01+0000,0,0,,0,[]
AlarmClockCrusher/PythonHearthstone,"A simulation Hearthstone, written in Python 3.8 and exploiting Panda3D, an open-source game engine.",https://github.com/AlarmClockCrusher/PythonHearthstone,['exploit'],1,2021-10-31T04:29:36+0000,0,0,,0,[]
Seals6/CVE-2021-22205,CVE-2021-22205漏洞检测,https://github.com/Seals6/CVE-2021-22205,['cve-2 OR cve_2'],1,2021-10-31T04:15:30+0000,0,0,,0,['CVE-2021-22205']
ohnonoyesyes/CVE-2021-20837,have a test,https://github.com/ohnonoyesyes/CVE-2021-20837,['cve-2 OR cve_2'],1,2021-10-31T01:37:11+0000,0,0,,0,['CVE-2021-20837']
ZakaryaRabaty/exploit99,None,https://github.com/ZakaryaRabaty/exploit99,['exploit'],1,2021-10-31T01:37:46+0000,0,0,Python,0,[]
ZakaryaRabaty/exploit,None,https://github.com/ZakaryaRabaty/exploit,['exploit'],1,2021-10-31T01:35:53+0000,0,0,,0,[]
K1B0R/K1B0R-Framework,The Framework made for red teamers. This framework has a custom Listener module along side a obfuscated payload generator far better and metasploits when it comes to AV Evasion. Soon to be implimenting exploits and auxilary modules aswell If you have any q,https://github.com/K1B0R/K1B0R-Framework,"['exploit', 'metasploit module OR payload']",2,2021-10-31T01:33:49+0000,0,0,,0,[]
