full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2021-11-05T02:42:11+0000,649777,25511,Ruby,11711,[]
xbdmdev/0days-In-The-Wild,A list of CVEs patched in 2021.,https://github.com/xbdmdev/0days-In-The-Wild,['0day'],1,2021-11-05T09:54:13+0000,91,0,,0,[]
hakivvi/CVE-2021-40449,"My exploit for CVE-2021-40449, a Windows LPE via a UAF in win32kfull!GreResetDCInternal.",https://github.com/hakivvi/CVE-2021-40449,"['cve-2 OR cve_2', 'exploit']",2,2021-11-05T06:54:10+0000,1739,18,C++,7,['CVE-2021-40449']
YieldingExploiter/YieldingExploiter,None,https://github.com/YieldingExploiter/YieldingExploiter,['exploit'],1,2021-11-05T14:34:16+0000,49,0,HTML,0,[]
raniceyue/cafe-exploitation,A blog where I write about exploiting cafes around Singapore,https://github.com/raniceyue/cafe-exploitation,['exploit'],1,2021-11-05T13:26:02+0000,22382,0,HTML,0,[]
openwrt-xiaomi/xmir-patcher,Firmware patcher for Xiaomi routers,https://github.com/openwrt-xiaomi/xmir-patcher,['exploit'],1,2021-11-05T06:54:01+0000,12001,2,Python,0,[]
tjonty/exploit,None,https://github.com/tjonty/exploit,['exploit'],1,2021-11-05T00:05:57+0000,1828,0,JavaScript,0,[]
docfate111/CVE-2021-42327,WIP kernel exploit for minor bug i found in amd gpu driver,https://github.com/docfate111/CVE-2021-42327,"['cve-2 OR cve_2', 'exploit']",2,2021-11-05T04:08:01+0000,1652,0,C,0,['CVE-2021-42327']
oxctdev/CVE-2021-20837,XMLRPC  - RCE in MovableTypePoC,https://github.com/oxctdev/CVE-2021-20837,"['cve-2 OR cve_2', 'rce']",2,2021-11-05T12:27:49+0000,172,13,Ruby,7,['CVE-2021-20837']
pwn4all/exploit,None,https://github.com/pwn4all/exploit,['exploit'],1,2021-11-05T06:12:35+0000,24,0,,0,[]
leonz12345/Currency_Exchange_Arbitrage_Detection,This repo is for exploiting arbitrage in currency exchanging using the Bellman-Ford algorithm.,https://github.com/leonz12345/Currency_Exchange_Arbitrage_Detection,['exploit'],1,2021-11-05T15:29:03+0000,3,0,Python,0,[]
TheHackingRabbi/CVE-2021-42662,CVE-2021-42662 - Stored Cross-Site Scripting vulnerability in the Online event booking and reservation system. ,https://github.com/TheHackingRabbi/CVE-2021-42662,['cve-2 OR cve_2'],1,2021-11-05T10:51:04+0000,6,2,,1,['CVE-2021-42662']
TheHackingRabbi/CVE-2021-42663,CVE-2021-42663 - HTML Injection vulnerability in the Online event booking and reservation system. ,https://github.com/TheHackingRabbi/CVE-2021-42663,['cve-2 OR cve_2'],1,2021-11-05T10:53:29+0000,3,0,,1,['CVE-2021-42663']
