full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2021-10-14T03:01:06+0000,21846,6037,JavaScript,1440,[]
glixzzy/blooket-hack,Multiple hacks that breaks the game,https://github.com/glixzzy/blooket-hack,['exploit'],1,2021-10-14T01:43:47+0000,2511,53,JavaScript,69,[]
senator-hack/metasploit-hack,None,https://github.com/senator-hack/metasploit-hack,['metasploit module OR payload'],1,2021-10-14T06:12:13+0000,0,0,,0,[]
FitTerminator/CVE202130858,"Hi there! Thanks for testing out my first ever Github repository & implementation of an iOS webkit exploit! So you are aware: I did not discover this exploit, and I also did not write most of this. So far, I have started off with modifying existing code to",https://github.com/FitTerminator/CVE202130858,"['cve-2 OR cve_2', 'exploit']",2,2021-10-14T04:36:38+0000,0,0,HTML,0,[]
Atom345/Iris,My personal tool for exploiting and checking for vulnerabilities.,https://github.com/Atom345/Iris,['exploit'],1,2021-10-14T04:18:09+0000,0,0,,0,[]
sxntixgo/metasploit-101-at-saintcon,None,https://github.com/sxntixgo/metasploit-101-at-saintcon,['metasploit module OR payload'],1,2021-10-14T04:32:03+0000,0,0,TeX,0,[]
0dayexp/0dayexp,Cyber Security Blog,https://github.com/0dayexp/0dayexp,['0day'],1,2021-10-14T03:59:04+0000,0,0,,0,[]
BrucessKING/CVE-2021-36749,Apache Druid 任意文件读取,https://github.com/BrucessKING/CVE-2021-36749,['cve-2 OR cve_2'],1,2021-10-14T03:47:03+0000,0,0,,0,['CVE-2021-36749']
zlpds/Atzel-Menus,ROBLOX exploit menus.,https://github.com/zlpds/Atzel-Menus,['exploit'],1,2021-10-14T03:30:51+0000,0,0,,0,[]
Momenzi/discord-selfmute-exploit,None,https://github.com/Momenzi/discord-selfmute-exploit,['exploit'],1,2021-10-14T01:34:55+0000,0,0,JavaScript,0,[]
Net-hunter121/CMSimple_XH-Unauth-RCE,hh,https://github.com/Net-hunter121/CMSimple_XH-Unauth-RCE,['rce'],1,2021-10-14T03:39:55+0000,17,0,Python,0,[]
LorenzoCavada/bo-cvd,Cavada's exercise on Buffer Overflow Exploit,https://github.com/LorenzoCavada/bo-cvd,['exploit'],1,2021-10-14T06:34:36+0000,157,0,C,0,[]
Feles007/exploitable-interpreter,None,https://github.com/Feles007/exploitable-interpreter,['exploit'],1,2021-10-14T01:44:26+0000,3,0,Python,0,[]
scarmandef/CVE-2021-41773," Apache HTTP Server 2.4.49, 2.4.50 - Path Traversal & RCE",https://github.com/scarmandef/CVE-2021-41773,"['cve-2 OR cve_2', 'rce']",2,2021-10-14T04:59:43+0000,1,0,Shell,0,['CVE-2021-41773']
utkarsh24122/get-GraphQL,Template based scanning for GraphQL endpoints for further exploitation.,https://github.com/utkarsh24122/get-GraphQL,['exploit'],1,2021-10-14T06:18:39+0000,6,0,Shell,0,[]
david232818/picoCTF_binary_exploitation_-_-,picoCTF에서 binary exploitation에 있는 기본적인 3개의 문제와 관련된 주제를 다루었다.,https://github.com/david232818/picoCTF_binary_exploitation_-_-,['exploit'],1,2021-10-14T01:57:30+0000,19129,0,TeX,0,[]
bhassani/DoublepulsarUploader,Repository for DoublePulsar DLL/Shellcode uploader programs,https://github.com/bhassani/DoublepulsarUploader,['shellcode'],1,2021-10-14T04:02:30+0000,130,1,C#,1,[]
offensive-security/exploitdb,The official Exploit Database repository,https://github.com/offensive-security/exploitdb,['exploit'],1,2021-10-14T05:07:44+0000,258821,6527,C,1809,[]
yqcs/ZheTian, ZheTian 免杀shellcode执行程序,https://github.com/yqcs/ZheTian,['shellcode'],1,2021-10-14T01:24:28+0000,400,114,Go,25,[]
HeiTang/Zrss,RSS feeds for HITCON ZeroDay’s vulnerability list,https://github.com/HeiTang/Zrss,['zeroday'],1,2021-10-14T01:07:11+0000,6673,2,Python,0,[]
ycdxsb/PocOrExp_in_Github,聚合Github上已有的Poc或者Exp，CVE信息来自CVE官网。Auto Collect Poc Or Exp from Github by CVE ID.,https://github.com/ycdxsb/PocOrExp_in_Github,['cve poc'],1,2021-10-14T04:01:48+0000,72199,210,Python,60,[]
giovannyortegon/SocketsShellcodePortingAndCoding,Reverse Engineering Exploit and Tool coding for Security Professionals by James C. Foster with Mike Price,https://github.com/giovannyortegon/SocketsShellcodePortingAndCoding,"['exploit', 'shellcode']",2,2021-10-14T06:17:52+0000,37,0,C,0,[]
tencentcloud-sdk-php/rce,None,https://github.com/tencentcloud-sdk-php/rce,['rce'],1,2021-10-14T01:36:15+0000,72,0,PHP,0,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2021-10-14T00:03:24+0000,407450,32,,19,[]
mineo333/GhostFops,A post-exploitation kernel module that allows an attacker to edit files with little to no footprint.,https://github.com/mineo333/GhostFops,['exploit'],1,2021-10-14T00:38:30+0000,819,1,C,0,[]
io12/pwninit,pwninit - automate starting binary exploit challenges,https://github.com/io12/pwninit,['exploit'],1,2021-10-14T00:41:34+0000,774,238,Rust,13,[]
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2021-10-14T00:16:49+0000,151572,252,Ruby,77,[]
epinna/tplmap,Server-Side Template Injection and Code Injection Detection and Exploitation Tool,https://github.com/epinna/tplmap,['exploit'],1,2021-10-14T01:02:06+0000,647,2550,Python,533,[]
seduceIDS/seduce,ShellcodE Detection Using CPU Emulation,https://github.com/seduceIDS/seduce,['shellcode'],1,2021-10-14T05:54:24+0000,6772,0,C,0,[]
hugsy/gef,GEF (GDB Enhanced Features) - a modern experience for GDB with advanced debugging features for exploit developers & reverse engineers ☢,https://github.com/hugsy/gef,['exploit'],1,2021-10-14T02:24:46+0000,5209,4002,Python,553,[]
commixproject/commix,Automated All-in-One OS Command Injection Exploitation Tool.,https://github.com/commixproject/commix,"['command injection', 'exploit']",2,2021-10-14T05:37:22+0000,5384,2927,Python,646,[]
offensive-security/exploitdb-bin-sploits,Exploit Database binary exploits located in the /sploits directory,https://github.com/offensive-security/exploitdb-bin-sploits,"['exploit', 'sploit']",2,2021-10-14T00:05:47+0000,1534761,1511,Python,519,[]
SSDMT-DEV-HARLEY/Exploit-6.72,None,https://github.com/SSDMT-DEV-HARLEY/Exploit-6.72,['exploit'],1,2021-10-14T06:33:23+0000,0,0,HTML,0,[]
