repo_id,repo_full_name,file,file_sha1,match
212443471,Kaizhe/attacker,victim_yamls/apache-struts2-cve-2017-5638.yaml,09dd43f86711a4683a4644433a393a58f0b96926,CVE-2017-5638
212443471,Kaizhe/attacker,README.md,0efd3b46763bcce4378cb64759b6ffa5db2a2908,CVE-2014-6271
212443471,Kaizhe/attacker,README.md,0efd3b46763bcce4378cb64759b6ffa5db2a2908,CVE-2016-3088
212443471,Kaizhe/attacker,README.md,0efd3b46763bcce4378cb64759b6ffa5db2a2908,CVE-2017-12617
212443471,Kaizhe/attacker,README.md,0efd3b46763bcce4378cb64759b6ffa5db2a2908,CVE-2017-5638
212443471,Kaizhe/attacker,README.md,0efd3b46763bcce4378cb64759b6ffa5db2a2908,CVE-2020-9484
212443471,Kaizhe/attacker,scripts/run,26c34b2e327502a85d193b2af0ba3e2acf5785a7,CVE-2014-6271
212443471,Kaizhe/attacker,scripts/run,26c34b2e327502a85d193b2af0ba3e2acf5785a7,CVE-2016-3088
212443471,Kaizhe/attacker,scripts/run,26c34b2e327502a85d193b2af0ba3e2acf5785a7,CVE-2017-12617
212443471,Kaizhe/attacker,scripts/run,26c34b2e327502a85d193b2af0ba3e2acf5785a7,CVE-2017-5638
212443471,Kaizhe/attacker,scripts/run,26c34b2e327502a85d193b2af0ba3e2acf5785a7,CVE-2020-9484
212443471,Kaizhe/attacker,victim_yamls/posgresql-CVE-2018-1058.yaml,f4304cbbe4a8fdceb0152b8cd4e613f29caa81b6,CVE-2018-1058
212443471,Kaizhe/attacker,victim_yamls/tomcat_cve-2017-12617.yaml,ff7040926de8e2989e2c6ebca849e8d9ad37f48a,CVE-2017-12617
