full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2021-10-29T03:01:54+0000,649432,25448,Ruby,11696,[]
sinjeanmin/cvedetails_2020,For IS713 Project,https://github.com/sinjeanmin/cvedetails_2020,['cve-2 OR cve_2'],1,2021-10-29T11:25:30+0000,19994,0,,0,[]
learner-ing/redis-rce,redis主从复制windows和Linux 6.x,https://github.com/learner-ing/redis-rce,['rce'],1,2021-10-29T01:53:12+0000,0,0,,0,[]
DoctorZorka/-Online-Motorcycle-Bike-Rental-System-1.0---Blind-Time-Based-SQL-Injection-Unauthenticated-,A PoC exploit written in Python to demonstrate the impact of an SQL Injection attack within the open-source web application “Online Motorcycle (Bike) Rental System 1.0”,https://github.com/DoctorZorka/-Online-Motorcycle-Bike-Rental-System-1.0---Blind-Time-Based-SQL-Injection-Unauthenticated-,"['attack poc', 'exploit']",2,2021-10-29T01:20:45+0000,0,0,Python,0,[]
rajesh457/CVE-2017-7529,Exploit of CVE-2017-7529,https://github.com/rajesh457/CVE-2017-7529,"['cve-2 OR cve_2', 'exploit']",2,2021-10-29T01:12:29+0000,0,0,Python,0,['CVE-2017-7529']
WeeblyDoodOfficial/rbx-exp-dtc,Roblox Exploit Detection script,https://github.com/WeeblyDoodOfficial/rbx-exp-dtc,['exploit'],1,2021-10-29T00:52:54+0000,0,0,,0,[]
Sergiorq1/Jinja2-ExploitMe,None,https://github.com/Sergiorq1/Jinja2-ExploitMe,['exploit'],1,2021-10-29T00:13:26+0000,0,0,HTML,0,[]
ArdXxX/New-World-Fast-Attack-Exploit,None,https://github.com/ArdXxX/New-World-Fast-Attack-Exploit,['exploit'],1,2021-10-29T08:52:34+0000,1,0,Python,0,[]
0xK4gura/CVE-2021-40444-POC,An attempt to reproduce Microsoft MSHTML Remote Code Execution (RCE) Vulnerability and using Metasploit Framework.,https://github.com/0xK4gura/CVE-2021-40444-POC,"['cve poc', 'cve-2 OR cve_2', 'metasploit module OR payload', 'rce', 'rce poc', 'remote code execution', 'vulnerability poc']",7,2021-10-29T05:15:34+0000,3,2,,0,['CVE-2021-40444']
tjonty/exploit,None,https://github.com/tjonty/exploit,['exploit'],1,2021-10-29T05:54:12+0000,364,0,JavaScript,0,[]
wyzmlr/AutoExploitSwagger,SwaggerAPI 自动利用工具,https://github.com/wyzmlr/AutoExploitSwagger,['exploit'],1,2021-10-29T04:24:39+0000,716,4,Python,0,[]
p0dalirius/binaryexploitation,"A massive documentation about binary protections, exploitation techniques, and computer architecture concepts.",https://github.com/p0dalirius/binaryexploitation,['exploit'],1,2021-10-29T13:37:01+0000,292,7,,0,[]
