match,match_weight,repo_full_name,repo_html_url,repo_id
MS10-047,1.1859582542694497e-05,scipag/vulscan,https://github.com/scipag/vulscan,84558222
MS10-047,4.694835680751174e-05,offensive-security/exploitdb,https://github.com/offensive-security/exploitdb,14902556
MS10-047,0.0002649006622516,hahwul/mad-metasploit,https://github.com/hahwul/mad-metasploit,102696209
MS10-047,0.0034602076124567,asr511/windows-kernel-exploits,https://github.com/asr511/windows-kernel-exploits,400130573
MS10-047,0.0034602076124567475,SecWiki/windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits,89315980
MS10-047,0.0034602076124567475,mishmashclone/SecWiki-windows-kernel-exploits,https://github.com/mishmashclone/SecWiki-windows-kernel-exploits,225470403
MS10-047,0.0037735849056603774,alichtman/writeups,https://github.com/alichtman/writeups,196810793
MS10-047,0.0058479532163742,AonCyberLabs/Windows-Exploit-Suggester,https://github.com/AonCyberLabs/Windows-Exploit-Suggester,21613236
MS10-047,0.0058479532163742,3hydraking/Windows-Exploit-Suggester-Python3,https://github.com/3hydraking/Windows-Exploit-Suggester-Python3,386444638
MS10-047,0.005847953216374269,evilmorty06/Windows-Exploit-Suggester-Functional,https://github.com/evilmorty06/Windows-Exploit-Suggester-Functional,375213138
MS10-047,0.005847953216374269,gotr00t0day/FindExploits,https://github.com/gotr00t0day/FindExploits,376345262
MS10-047,0.0058823529411764705,3hydraking/windows-exploit-suggester,https://github.com/3hydraking/windows-exploit-suggester,377846303
MS10-047,0.0066666666666666,0dff03e35e441de3084d705f632e8976/exploit_win,https://github.com/0dff03e35e441de3084d705f632e8976/exploit_win,385117277
